,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
9890,yytxmEnuBSm6qVLo4rOiOw,Vivienne Kitchen & Pantry,4128 NE Sandy Blvd,Portland,OR,97212,45.5356005507,-122.6207175851,4.5,98,"Food, Restaurants, Soup, Cafes, Breakfast & Brunch, Bakeries, American (New), Specialty Food, Salad, Coffee & Tea"
10343,yv9jvt_58q9ZQzl9i8xUmw,Grand Central Bakery,2230 SE Hawthorne Blvd,Portland,OR,97214,45.5118605,-122.6426065,4.5,215,"Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries, Restaurants, Food"
4493,yqkAnWzbJ0ZVeN2y1EckAw,Water Avenue Coffee,811 SW 6th Ave,Portland,OR,97204,45.5181852033,-122.6792420787,4.5,36,"Coffee & Tea, Food"
6934,yq6_moioq9bdg01sxBcEXg,Saint Cupcake,4200 N Williams Ave,Portland,OR,97217,45.5539582,-122.6664731,4.0,12,"Bakeries, Coffee & Tea, Food, Cupcakes"
8416,youvLCFOlb3X_-yYVs2_eA,McDonald's,1831 W Burnside,Portland,OR,97209,45.5231804,-122.6900102652,2.0,67,"Burgers, Coffee & Tea, Food, American (New), Restaurants, Fast Food"
4351,ykCmvN0x4CVRLJdRVZ29Xw,Boyds Coffee,1229 SW 10th Ave,Portland,OR,97205,45.5166729,-122.6839142,3.5,9,"Coffee & Tea, Food"
1713,ykAjTUNGJawP9ZaYRBJtHg,Carnelian Coffee,6923 SE Foster Rd,Portland,OR,97206,45.4878591,-122.5920402,5.0,38,"Internet Cafes, Coffee Roasteries, Food, Coffee & Tea"
484,ygQhAmIRJO30mTlrbrJCrg,Hassalo on Eighth,"1061 NE 9th Ave, Ste 100",Portland,OR,97232,45.53056,-122.6566059,3.0,21,"Architects, Home Services, Apartments, Restaurants, Real Estate, Food, Cafes, Professional Services, Grocery"
3872,ydOrglIOU1ImnpU1VVHd0w,Three Friends Coffee House,201 SE 12th Ave,Portland,OR,97214,45.5214777,-122.6536356,4.0,105,"Coffee & Tea, Desserts, Restaurants, Bagels, Food, Breakfast & Brunch"
9099,yYB2lasWqCR8018emkOzZA,Barista,1725 NE Alberta St,Portland,OR,97211,45.55923,-122.647354,4.0,285,"Coffee & Tea, Food"
5498,yTHWBqyieECxXACT_wunxA,Papaccino's,4411 SE Woodstock Blvd,Portland,OR,97206,45.4794239,-122.6170709,3.5,111,"Coffee & Tea, Restaurants, Food"
5577,yRf62summTIx5kVzWaEeRg,Grounded NW Coffee,1951 W Burnside St,Portland,OR,97209,45.523192,-122.6914751,3.5,5,"Food, Coffee & Tea, Bagels, Cafes, Restaurants"
131,yM1R4ZsKcARkijUYB4_mTA,Grandpa's Cafe,3832 N Interstate Ave,Portland,OR,97227,45.5507327,-122.6806034,4.0,12,"Restaurants, Polish, Cafes, Modern European, Delis"
3188,yLWUprwVbsR8kSf9XdHw_w,Caffe Brioso,3907 NE Martin Luther King Jr Blvd,Portland,OR,97212,45.5510304,-122.6617722,4.0,12,"Bakeries, Coffee & Tea, Beer, Wine & Spirits, Food"
7093,yK94eQsHtI6ztqzCs9tOaQ,McDonald's,10050 SW Barbur Blvd,Portland,OR,97219,45.4526481481,-122.7225261927,2.0,51,"Burgers, American (Traditional), Fast Food, Coffee & Tea, Restaurants, Food"
10652,yK8aAyfrM0wa4Bhca91epw,Great Notion Brewing,2444 NW 28th Ave,Portland,OR,97210,45.5397794242,-122.7089525662,4.5,116,"Breweries, Gastropubs, Brewpubs, Coffee & Tea, Food, Restaurants"
9276,yI7z8tn26VBcKfBXQRWwYQ,Laughing Planet,4405 SW Vermont St,Portland,OR,97219,45.476707,-122.7217649,3.5,180,"Desserts, Mexican, American (Traditional), Barbeque, Fast Food, American (New), Vegetarian, Korean, Food, Juice Bars & Smoothies, Restaurants, Coffee & Tea, Salad, Cafes, Vegan"
8399,yI5MIZrslIYySGkao_dRlQ,Carioca Bowls,827 NE Alberta St,Portland,OR,97211,45.5592874,-122.6568706,4.5,217,"Restaurants, Coffee & Tea, Acai Bowls, Breakfast & Brunch, Food, Juice Bars & Smoothies, Vegetarian, Brazilian, Gluten-Free"
7218,yH-Gjlan7uEj5RkDLhp3tA,Fehrenbacher Hof,1225 SW 19th Ave,Portland,OR,97205,45.5186187,-122.6938215,4.5,189,"Bakeries, Antiques, Restaurants, Coffee & Tea, Shopping, Gluten-Free, Food"
9379,yDBoq8ZXV75k-zKBbOgrlg,Irah's Coffee & Yogurt Lounge,1755 SW Jefferson St,Portland,OR,97205,45.5178596,-122.6919059,4.5,10,"Restaurants, Cafes, Ice Cream & Frozen Yogurt, Coffee & Tea, Food"
761,yBCJ6OwL3eDifEWrzBwc5Q,400 Cafe,400 SW 6th Ave,Portland,OR,97204,45.5207049,-122.6773971,3.0,8,"Cafes, Restaurants"
6959,y6sI90IwOrUlhH0nlUbXXg,Coava Coffee Roasters,1300 SE Grand Ave,Portland,OR,97214,45.5134032,-122.6604265,4.5,699,"Coffee Roasteries, Food, Coffee & Tea"
1054,y5UsC6gCx86k13Rfw-uLRg,Coffee People,"Portland International Airport Comcourse C, 7000 NE Airport Way",Portland,OR,97218,45.589863333,-122.5984793901,2.5,6,"Restaurants, Food, Coffee & Tea, Cafes"
6289,y4wbm5Si8r19NuUfz5NB3g,Café Ponté,727 SW Naito Pkwy,Portland,OR,97204,45.5170608424,-122.6728768084,4.5,69,"Sandwiches, Food, Cafes, Salad, Desserts, Coffee & Tea, Restaurants, Specialty Food, Patisserie/Cake Shop"
7965,y2qzm0Nc6wyjx3JGjX6Q_Q,Favela Brazilian Cafe,5300 SE Foster Rd,Portland,OR,97206,45.4948458,-122.6079986,5.0,31,"Coffee & Tea, Restaurants, Brazilian, Food, Bakeries, Juice Bars & Smoothies, Cafes"
5809,y2n8_8H5diZ3aIDN31wQZA,The Clearing Cafe,2772 NW Thurman St,Portland,OR,97210,45.5350576,-122.7081865,4.0,109,"Sandwiches, Coffee & Tea, Restaurants, Food, Ice Cream & Frozen Yogurt, Breakfast & Brunch, Bagels, Gelato, Bakeries"
4957,y2gFcAVBXmVxFXAugRe5ig,Scrumptious Crumpets,7414 SE Milwaukie Ave,Portland,OR,97202,45.4710685001,-122.6482689133,5.0,23,"Food, Coffee & Tea, Juice Bars & Smoothies, Specialty Food"
4871,y2d7L1UnumJQX10uuZEyzg,7-Eleven,1931 N Lombard,Portland,OR,97217,45.5774372733,-122.6865752041,2.5,6,"Food, Coffee & Tea, Convenience Stores"
5300,xzBdKVBwoPwDNLN7ZwVa2w,Yoko's Japanese Restaurant,2878 SE Gladstone St,Portland,OR,97202,45.493212,-122.636056,4.0,373,"Sushi Bars, Coffee & Tea, Japanese, Restaurants, Food"
5251,xyeAKc8BFEzsaOXGunMhxw,Portland Penny Diner,410 SW Broadway,Portland,OR,97205,45.521107,-122.67852,4.0,115,"Diners, Desserts, Breakfast & Brunch, Nightlife, Food, Restaurants, Cocktail Bars, Bars, Coffee & Tea, Sandwiches"
7253,xxmyeb6g4eIa3NzDwWsiQA,Sweetpea Baking Company,1205 SE Stark Ave,Portland,OR,97214,45.5194341,-122.6534859,4.0,488,"Vegan, Bakeries, Coffee & Tea, Food, Shopping, Restaurants"
9473,xvDCgSfAeKbPCQeynuByew,Saint Simon Coffee Co,2005 NE Broadway,Portland,OR,97232,45.5351547441,-122.6456360461,4.5,241,"Coffee & Tea, Food"
7792,xtxZFWgU5_ZBFRHDEQShKQ,Mio Gelato,1517 NE Brazee St,Portland,OR,97212,45.5406307,-122.6500148,4.0,13,"Food, Sandwiches, Coffee & Tea, Restaurants, Ice Cream & Frozen Yogurt"
8285,xtrBoV-fy8bzmG5u6FqFsg,Starbucks,1742 SW 6th Ave,Portland,OR,97201,45.512054,-122.682208,4.0,16,"Coffee & Tea, Food"
8068,xt5Z3KCzWMk3rVNo04F9vA,Sunshine Cafe,1220 SW Morrison St,Portland,OR,97205,45.5204671,-122.6846024,3.0,8,"Restaurants, Food, Coffee & Tea, Cafes"
6897,xsUx_xE6pkF93CSHiO8oLQ,Gladstone Street Pizza,3813 SE Gladstone St,Portland,OR,97202,45.4935265,-122.6234321,4.0,202,"Salad, Local Flavor, Lounges, Pizza, Food, Bars, Nightlife, Restaurants, Coffee & Tea"
3988,xpXh9N5UsqpkhqAk5P4PfQ,Food For Thought Cafe,"PSU Smith Memorial Union, 1825 SW Broadway",Portland,OR,97201,45.5120837,-122.6836163,3.5,37,"Coffee & Tea, Vegetarian, Vegan, Food, Restaurants"
396,xn5aKh1I4U4iHtIoNeZk4A,Paiche,4237 SW Corbett Ave,Portland,OR,97239,45.4926223425,-122.6763453175,4.5,93,"Vegan, Food, Vegetarian, Specialty Food, Seafood, Peruvian, Latin American, Coffee & Tea, Bakeries, Restaurants, Ethnic Food, Cafes"
10777,xhs06qCEYv8JGF_hIDt4wg,Stumptown Coffee Roasters,100 SE Salmon St,Portland,OR,97214,45.5140615964,-122.6645178807,4.5,78,"Food, Coffee & Tea, Coffee Roasteries"
9010,xc4rCjGekuf3t8H57znQsw,7-Eleven,8181 NE Air Cargo Rd,Portland,OR,97218,45.5799859,-122.5741571,2.0,21,"Food, Automotive, Coffee & Tea, Convenience Stores, Gas Stations"
8808,xWtpu0312ocDmoLLVgr9Zg,Brewed Awakenings,11945 SW Pacific Hwy,Portland,OR,97223,45.4347322,-122.7660665,4.0,5,"Coffee & Tea, Food, Restaurants"
7192,xSCML31WHdRJz6hxxdy7kA,KIVA Cafe & Spa,1533 NW 24th Ave,Portland,OR,97210,45.533878,-122.701105,4.0,227,"Food, Coffee & Tea, Juice Bars & Smoothies, Cafes, Massage, Breakfast & Brunch, Beauty & Spas, Tea Rooms, Restaurants, Day Spas"
4171,xR6vZKYwS2chMyUi2lYEPA,Fried Egg Im In Love,4237 N Mississippi Ave,Portland,OR,97217,45.5545157,-122.6757358,4.5,21,"Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches"
4889,xQCZr7fmC779Iu3e3t1yGg,Sarah Bellum’s Bakery & Workshop,7828 SW Capitol Hwy,Portland,OR,97219,45.4677960821,-122.7134549445,5.0,18,"Food, Bakeries, Event Planning & Services, Caterers, Coffee & Tea, Local Services, Community Service/Non-Profit, Restaurants, Gluten-Free, Cupcakes"
9375,xNUqTbCq3wZbgwzAFcXNCw,Foxfire Teas,"2505 SE 11th Ave, Ste 105",Portland,OR,97202,45.5051418,-122.6563184,4.5,14,"Restaurants, Food, Coffee & Tea"
8481,xKdFRkJQ8U50GlVZhJjC9Q,Portland Nursery,5050 SE Stark St,Portland,OR,97215,45.5187333,-122.6110561,4.0,158,"Shopping, Home & Garden, Food, Coffee & Tea, Nurseries & Gardening"
3517,xKTSG4jKSj25SUmvPavLdw,Caffe Destino,1339 NE Fremont St,Portland,OR,97212,45.5483745,-122.6519651,4.0,66,"Food, Restaurants, Breakfast & Brunch, Coffee & Tea, Bakeries, Sandwiches"
6559,xEX7ZxHAxA3BW1dvqVh8gA,Starbucks,6080 S Macadam,Portland,OR,97239,45.479772,-122.672678,3.0,28,"Coffee & Tea, Food"
3218,x6XbRllM1jGgTUK7YrDLWw,Brewskies Coffee,9050 SW Barbur Blvd,Portland,OR,97219,45.4594026,-122.7079799,4.5,11,"Nightlife, Bars, Coffee & Tea, Drive-Thru Bars, Food"
1049,x4Yl-WTAcTGpBs8EQkeoSg,Cookie Cabana,105 SW Market St,Portland,OR,97201,45.5119353,-122.6772197,3.5,16,"Buffets, Cafes, Restaurants, Salad, Delis, Sandwiches"
8673,x3HiK5FvrUUtnwPE-w_OQQ,Neighbours Table,2830 NE Flanders St,Portland,OR,97232,45.5254803,-122.6363832,5.0,5,"Coffee & Tea, Breakfast & Brunch, Restaurants, Food"
9892,x03b65sGbnxfLz4JV2w1lw,The Velvet Lounge,212 SW Harvey Milk St,Portland,OR,97214,45.5199641,-122.6738639,5.0,5,"Food, Cocktail Bars, Nightlife, Bars, Restaurants, Southern, Gay Bars, Coffee & Tea, Lounges"
7890,wvofSleWlbHVxmLK8vAxeg,Kaffee Bistro,1234 SW 2nd Ave,Portland,OR,97204,45.5141556,-122.6764707,2.5,8,"Restaurants, Coffee & Tea, Sandwiches, Food"
3602,wnYjzeVN9zGKKHP6NGh5hw,Starbucks,605 NW 23rd Ave,Portland,OR,97210,45.527081,-122.69871,3.5,20,"Food, Coffee & Tea"
5248,wlcckSAigEGztc4yVBCCiA,Revolución Coffee House,1432 SW 6th Ave,Portland,OR,97201,45.5138592964,-122.681230838,4.5,175,"Coffee & Tea, Desserts, Restaurants, Food, Cafes"
9052,wlEV8uK53BYXf7lZEYBctA,HunnyMilk,1981 W Burnside St,Portland,OR,97209,45.5232386,-122.6921151,4.0,169,"American (New), Breakfast & Brunch, Food, Restaurants, Cocktail Bars, Coffee & Tea, Juice Bars & Smoothies, Nightlife, Bars"
1017,weY8Q8j-VbGrVbK9QUF3kg,Daily Cafe at the Tram,3355 SW Bond Ave,Portland,OR,97239,45.4987252,-122.6709843,3.5,62,"Restaurants, American (Traditional), Cafes, Delis"
4603,wXI1OVBZus_jqFNUgo7rnA,Starbucks,7421 SW Barbur Blvd,Portland,OR,97219,45.471417,-122.685751,4.0,14,"Coffee & Tea, Food"
55,wSx48gAcKe89yvEyqUx9WA,North Harbour Cafe,1231 N Anchor Way,Portland,OR,97217,45.6048415,-122.6787581,3.5,6,"Food, Internet Cafes, Cafes, Restaurants"
6527,wRW2uksCbxw3RlbK0MHTrg,HunnyMilk,40 NE 28th Ave,Portland,OR,97232,45.523469,-122.637056,4.0,312,"Breakfast & Brunch, Event Planning & Services, Pop-Up Restaurants, Coffee & Tea, Cupcakes, Pubs, Caterers, Bars, Food Delivery Services, Bakeries, Restaurants, Desserts, Food, Ice Cream & Frozen Yogurt, Nightlife"
4956,wKFF-JKmrj0k-un__fbTbw,Be Map,SW 10th Ave & SW Washington St,Portland,OR,97205,45.5213427,-122.681369,3.0,8,"Food, Restaurants, Donuts, Coffee & Tea, Food Stands"
10292,wGlV1zd6eT2bGEhHwu7j1A,The Fresh Pot,3729 SE Hawthorne Blvd,Portland,OR,97214,45.5122426,-122.6251772,4.0,107,"Food, Coffee & Tea, Restaurants, Gluten-Free"
4823,wGBgtaUivTAix69hN9ScXg,Groundwork Coffee Co.,4703 SE Hawthorne Blvd,Portland,OR,97215,45.512242,-122.614009,4.0,51,"Sandwiches, Breakfast & Brunch, Food, Restaurants, Coffee & Tea, Cafes"
3840,wE68nDgjVSPWZgcMjEIwoA,Satellite Cafe,1524 SE 20th Ave,Portland,OR,97214,45.5119622,-122.6451068,4.5,14,"Coffee & Tea, Beer, Wine & Spirits, Restaurants, Sandwiches, Food"
10614,wC1rzHB3Ib5UkcvAgeh1KQ,Milo's Espresso,16234 SE Division St,Portland,OR,97236,45.5042465,-122.4959684,3.0,10,"Coffee & Tea, Restaurants, Food"
6637,w7C_q9pQOSEf2h2sI7BZGQ,Spielman Bagels,2111 SE Division St,Portland,OR,97202,45.5049462025,-122.6441733019,3.5,91,"Coffee & Tea, Bagels, Food"
6953,w5GxGbhqj573KCvw_bpJag,Tea Bar,1055 NW Northrup,Portland,OR,97209,45.5316007,-122.6819959,3.5,181,"Bubble Tea, Food, Tea Rooms, Coffee & Tea"
6073,w4mj2FM2kJSACNFDVTrhtQ,Bakehouse Bagels,6141 SW Macadam Ave,Portland,OR,97239,45.4769726405,-122.6723297294,3.0,36,"Coffee & Tea, Bagels, Vegan, Restaurants, Sandwiches, Food"
10930,w4ImEak6k_vixcCTQjhLDg,Blue Kangaroo Coffee Roasters,7901 SE 13th Ave,Portland,OR,97202,45.4670732,-122.653196,4.0,173,"Food, Coffee Roasteries, Coffee & Tea"
8157,vxgrn6M-F0vmYMp9NrOrGg,Oblique Coffee Roasters,3039 SE Stark St,Portland,OR,97214,45.519524,-122.6340624,4.0,163,"Coffee & Tea, Food"
3817,vvByRtc1g1e7IR0RovAC7Q,Refuel Coffee,049 SW Porter St,Portland,OR,97201,45.501885,-122.676541,5.0,6,"Food, Restaurants, Coffee & Tea, Gluten-Free"
6381,vv4-te8DFF5lrcWqBu7Ziw,Jet Black Coffee,11150 NE Weidler St,Portland,OR,97220,45.533828,-122.547756,4.5,110,"Bakeries, Food, Coffee & Tea"
425,vu0Z_KIsVMja2y5m2iCJDA,AfriCafe,SW Zoo Rd,Portland,OR,97221,45.5088445943,-122.7125852555,2.0,6,"Fast Food, Food, Restaurants, Cafes"
8855,vl9UBM9rtEyypP96mbCENw,Starbucks,"7515 SW Barnes Rd, Ste 104",Portland,OR,97225,45.516117,-122.754583215,3.0,8,"Coffee & Tea, Food"
5518,vhtM5zLlimnF4LKqVq9zWg,Cornell Farm Cafe,8212 SW Barnes Rd,Portland,OR,97225,45.5102875672,-122.7604689264,4.0,178,"Coffee & Tea, Cafes, Restaurants, Food, Bakeries, Breakfast & Brunch, Sandwiches"
4168,vgn1LR6IaHW_v24x64vp3Q,Starbucks,1039 NW Couch St,Portland,OR,97209,45.523783,-122.681998,4.0,88,"Bars, Food, Beer, Wine & Spirits, Coffee & Tea, Restaurants, Wine Bars, Tapas Bars, Nightlife"
3638,veP9FSiw53S9jCoRr3kkRQ,Red Gate Coffee & Tea House,7434 NE Fremont St,Portland,OR,97213,45.5480234,-122.5860733,4.5,47,"Bubble Tea, Coffee & Tea, Food, Restaurants, Chinese, Kombucha"
2336,vcy-EO3YE5dbxB7RiU6f3Q,Cafe Diva Dogs,"Home Depot, 13700 NW Science Park Dr",Portland,OR,97229,45.524750631,-122.8168487549,4.5,8,"Restaurants, Cafes, Food"
1137,vbQwIze_mD3PIz7xrQuF0g,Cricket Cafe,3159 SE Belmont St,Portland,OR,97214,45.5166,-122.632499,3.5,390,"Breakfast & Brunch, Food, Coffee & Tea, Restaurants, Cafes, Vegetarian, Bagels"
6079,vac7mQApPrbeq_Uh0JBI9Q,Sissy's Beverage Emporium,7316 N Lombard St,Portland,OR,97203,45.5875709,-122.7423628,4.5,5,"Food, Acai Bowls, Juice Bars & Smoothies, Coffee & Tea, Food Delivery Services, Food Trucks"
10807,vWydfpxOMnaU1GRe0DROHg,Portland Roasting Coffee,"700 SW 5th Ave, Space 1068",Portland,OR,97204,45.5183925812,-122.6772465067,4.0,10,"Food, Coffee Roasteries, Coffee & Tea"
9322,vSwfSVHwcpjELNdvZUrrow,Rose City Coffee Company,6720 SE 16th Ave,Portland,OR,97202,45.4741019,-122.6499804,4.5,23,"Wholesale Stores, Food, Coffee & Tea, Desserts, Restaurants, Shopping"
9750,vLtxoH7gIzARzrtMAsVj7w,Goldrush Coffee Bar,2601 NE Martin Luther King Jr Blvd,Portland,OR,97212,45.5410198,-122.661805,4.0,102,"Coffee & Tea, Food"
8111,vIBzLPHzer5wXQA-amo-8w,7-Eleven,4250 NE 122nd Ave,Portland,OR,97230,45.5534418897,-122.5366762386,2.0,8,"Convenience Stores, Food, Coffee & Tea"
3976,vFcY7MNOTYJljV3rRqPQvQ,McDonald's,12005 N Center St,Portland,OR,97217,45.6101663,-122.6805965602,2.0,27,"Fast Food, Restaurants, Burgers, Coffee & Tea, Food"
9474,vBzhv7mjnZvN2lBW1RZAfA,Upstream Coffee,"0315 SW Montgomery St, Ste 200",Portland,OR,97201,45.5096088,-122.6735594,4.0,173,"Coffee & Tea, Juice Bars & Smoothies, Food, Bagels, Beer, Wine & Spirits, Desserts, Ice Cream & Frozen Yogurt"
8032,vBkhgnMEI3gMC38n1ryH_w,Starbucks,9401 NE Cascades Pkwy,Portland,OR,97220,45.575863,-122.56538,3.0,5,"Coffee & Tea, Food"
8602,vAd5ec8YKQOkUSfKqE7BiA,Smith Teamaker,1626 NW Thurman St,Portland,OR,97209,45.5354965,-122.6882476,4.5,139,"Food, Tea Rooms, Coffee & Tea"
8570,v5suQpzx9ff40FZq3B8AQw,Gateway Medical Pharmacy,1125 NE 99th Ave,Portland,OR,97220,45.5309824,-122.5629757,4.5,8,"Shopping, Food, Coffee & Tea, Drugstores"
5069,v4n9VUENr2yGw23J-4DK6A,Moonstruck Chocolate,608 SW Alder St,Portland,OR,97205,45.5197641712,-122.6786288546,4.5,145,"Desserts, Local Flavor, Coffee & Tea, Specialty Food, Restaurants, Ice Cream & Frozen Yogurt, Candy Stores, Chocolatiers & Shops, Food, Cafes"
4779,v4_XjuxcnEaztoN9KxzFbA,Kiwan Cafe Rio,2190 W Burnside,Portland,OR,97210,45.5230916,-122.6962086,4.5,39,"Cafes, Food, Coffee & Tea, Restaurants, Breakfast & Brunch, Gluten-Free, Juice Bars & Smoothies"
2427,uvZpg_aFbtpk8-9OSBF1UQ,Channel's Edge,207 N Bridgeton Rd,Portland,OR,97217,45.6030045,-122.668287,4.5,25,"Flowers & Gifts, Shopping, American (Traditional), Gift Shops, Restaurants, Cafes"
3799,ut_3AwZB_S5ywhMa7vH_iw,Brew Dr. Teahouse - Mississippi,3917 N Mississippi Ave,Portland,OR,97227,45.551164,-122.6758258,4.5,93,"Herbal Shops, Food, Bubble Tea, Health & Medical, Coffee & Tea"
517,ulS1fYZnSNzZFtbYptqshg,Bassotto Gelateria,1760 NE Dekum St,Portland,OR,97211,45.571678,-122.64683,4.5,83,"Food, Italian, Ice Cream & Frozen Yogurt, Gelato, Restaurants, Cafes"
8889,uei0jTLA7VYcDXpIrKapMw,Seven Virtues Coffee Roasters,3538 SE Hawthorne Blvd,Portland,OR,97214,45.51182,-122.62797,4.0,43,"Bagels, Coffee & Tea, Food"
3668,udMHwvnjVqBO0G9xhfQx0Q,Starbucks,10317 SE 82nd Ave,Portland,OR,97222,45.4479875553,-122.5794080805,3.0,8,"Food, Coffee & Tea"
7906,uZ_a7x5NWnWe5Snz4Ab5pA,Starbucks,1035 NE Martin Luther King Blvd,Portland,OR,97232,45.530649,-122.6619472,3.0,7,"Food, Coffee & Tea"
1018,uYPFixUiLfBnfkbmd5wWEA,Marketplace Cafe,"Nordstrom, 701 SW Broadway",Portland,OR,97205,45.519155,-122.6803131,3.5,28,"Food, Diners, American (Traditional), Coffee & Tea, Cafes, Restaurants, American (New)"
3102,uYNsFPZ0b9s5nXzKIezCUQ,Rain City Coffee,2035 NE 41st Ave,Portland,OR,97212,45.5376095,-122.6212403,3.5,11,"Sandwiches, Coffee & Tea, Restaurants, Food"
9664,uWuP1vZsccfJk6Lrf5KQ0g,7-Eleven,30 SW Arthur St,Portland,OR,97201,45.5033270338,-122.6783813642,3.5,5,"Convenience Stores, Coffee & Tea, Food"
10883,uP3OKpGEOiqMzpZgKSj4PA,Roste Chocolate House,475 NW 14th Ave,Portland,OR,97209,45.5262975,-122.685266,5.0,23,"Bakeries, Food, Chocolatiers & Shops, Coffee & Tea, Coffee Roasteries, Specialty Food"
7401,uNzf608FFxOHycPZshR_nw,Ethos Music Center,2 N Killingsworth St,Portland,OR,97217,45.5625936,-122.6670868,3.5,6,"Specialty Schools, Education, Coffee & Tea, Art Schools, Food"
1693,uNsB-urMrWFMx90ihzCj5A,Purest Cafe,"115 SW Ash St, Ste 100",Portland,OR,97204,45.5219764,-122.6717648,3.5,9,"Desserts, Art Galleries, Shopping, Food, Coffee & Tea, Cafes, Restaurants, Arts & Entertainment"
8339,uL53_fxv-ebIdtIRo6ooLA,Happy Cup Coffee Shop,3331 NE Sandy Blvd,Portland,OR,97232,45.5320989,-122.6300497,4.5,5,"Arts & Entertainment, Cultural Center, Food, Coffee & Tea"
2692,uJc1KMOCs3Og9W5eKufQdg,Lee's Sandwiches,"4124 SE 82nd Ave, Ste 788, Eastport Plaza Shopping Center",Portland,OR,97266,45.492638,-122.5780238275,3.0,165,"Sandwiches, Cafes, Restaurants, Coffee & Tea, Bakeries, Food, Vietnamese, Breakfast & Brunch"
5020,uIrLIJ0C4Oe_QjUqzFvbLg,The Deli Love,441 N Killingsworth St,Portland,OR,97217,45.5628738,-122.6710741,2.5,6,"Food, Coffee & Tea, Bagels, Delis, Juice Bars & Smoothies, Restaurants"
5023,uHBeSbQ711pTE0GpS_Edew,Starbucks,906 SW Taylor St,Portland,OR,97205,45.518367,-122.682085,4.0,15,"Coffee & Tea, Food"
1682,uF8D_ZfsMmEryQH52wvjsw,Village Coffee,7781 SW Capitol Hwy,Portland,OR,97219,45.4682662,-122.712552,3.5,71,"Cafes, Food, Coffee & Tea, Sandwiches, Restaurants"
1491,uEUs2nv-z6luBlEvdPl6iA,Gretchen's Kitchen,940 SE Morrison St,Portland,OR,97214,45.5171788,-122.6562465,4.5,30,"Cafes, Sandwiches, Food, Restaurants"
3466,uDeyDoFTsEe6B9Ld1F1UKg,Noah's Bagels,3541 SE Hawthorne Blvd,Portland,OR,97214,45.5121932,-122.6277759,2.5,16,"Coffee & Tea, Food, Bagels, Restaurants"
1247,uCwNssCRUljNxKDbE1XSzQ,Kitchen Sink Food + Drink,"2250 E Burnside St, Unit C",Portland,OR,97214,45.5226763,-122.6424134,4.5,29,"Food, Breakfast & Brunch, Bakeries, Cafes, Restaurants"
